2000 1
999389891 924955261
154253387 891000940 6076382
59202899 565427474 8676367
123280124 461618875 16605
787454555 503801713 5254662
468851883 735435664 4661395
710226279 429426911 6864081
251393860 593687159 2698853
934586174 518515311 2374762
857529711 836006427 929600
130964383 912531882 3674473
648416744 718023694 7970510
892898023 676036124 7390097
847983394 467059745 2797555
873781826 479180515 7721206
92341676 904751620 1961408
386335123 214324367 4084793
409512416 854483023 7688307
448357804 295841032 8194210
834692848 323707298 3155651
664736891 103810720 7091231
457174114 697788281 3149623
928065414 727292396 2548008
824708806 198600664 5405831
145848129 270738838 8282270
780559885 202538640 3106659
492813650 564777965 4800922
180419501 55667808 3448468
911756401 874198619 6456762
713544281 728431942 4428667
926450432 865245498 3640908
563832816 615956471 3933360
101528774 317845709 2686334
696632983 482185417 1600734
437174730 327797975 9088039
327091030 499353249 3337233
672699938 279376852 2100806
510297802 477066005 5161497
920653376 833641333 5074532
759563213 196915954 5564089
364469538 176780114 3360921
561200484 781452254 6429801
570389274 462961471 7054409
118602384 449452452 8328243
247898936 537459347 2002049
150193548 171718678 3904425
194138710 763766389 8383441
117278827 754468211 8041761
510461908 723664491 3730333
208628291 909028237 6473315
597663535 65914210 1262069
297818476 584373096 5378244
647184301 802696991 8335825
682800613 386893035 4138513
973601338 716673852 4024320
922458937 514556277 710995
299328462 264864136 1577370
492038002 401749538 9306361
353682503 483494918 194570
954865270 124097176 4155882
353224409 431969120 2903609
16277159 98048664 5468405
733553317 772853409 2171363
707239509 126938387 8444
615854956 366917408 7922167
531271466 400745818 6592573
694165729 556282354 7336592
879884277 788929969 1769892
890745187 868695191 5432960
608930288 665919621 9228672
681854759 814802808 10993914
295473426 632806870 1078231
769882670 278876762 2729329
470448344 566255984 2085139
634201975 579184191 6206318
611042030 566236569 8997071
576660175 19957723 4231689
954951159 755609086 2723456
973195038 222633477 7260288
276787200 738467263 2689936
699389670 576805164 5279908
308934191 130082583 1638215
992842073 74738864 3093542
38621003 838336394 3071549
979553920 692524953 5895489
177118580 683079570 3759828
253816854 506253875 6474498
629259599 553728945 4067601
600940742 816206564 8841737
427969285 761939005 9317692
448398888 54167903 3620499
930197925 297317333 2483642
7106090 770705879 417788
695958800 300166917 5971933
140899673 787677554 7428856
559361630 15598658 2353109
23625137 676855398 10027031
443432157 697534868 4184053
54118086 212046298 2617435
425764464 637455239 1185354
116141573 673887512 8933608
63812300 534699641 6890883
708625749 32626470 9635019
